customer_id,age,gender,marital_status,dependents,location,contract_type,payment_method,monthly_charges,tenure_months,phone_service,internet_service,streaming_service,customer_rating,number_of_complaints,late_payments,last_interaction_days,churn
CUST-0031,61,Female,Married,Yes,Peshawar,One Year,Bank Transfer,1936.2,31,No,No,Yes,4,0,4,177,0
CUST-0032,42,Female,Married,No,Karachi,Two Year,Credit Card,1754.76,53,No,No,No,2,1,6,274,0
CUST-0033,66,Male,Single,Yes,Quetta,Month-to-Month,Cash,1858.96,8,No,No,Yes,2,2,3,179,1
CUST-0034,44,Female,Married,No,Lahore,One Year,Bank Transfer,5539.58,24,Yes,No,No,2,2,10,129,0
CUST-0035,59,Female,Single,No,Peshawar,One Year,Cash,3946.12,8,No,Yes,No,4,5,5,125,0
CUST-0036,45,Male,Single,No,Islamabad,Month-to-Month,Cash,7938.34,48,No,Yes,No,2,4,8,27,0
CUST-0037,33,Female,Single,No,Karachi,Month-to-Month,Credit Card,2201.64,30,No,Yes,No,4,0,3,64,0
CUST-0038,32,Female,Married,Yes,Lahore,Month-to-Month,Credit Card,2831.23,58,Yes,Yes,No,2,1,10,60,0
CUST-0039,64,Female,Single,Yes,Karachi,Month-to-Month,Credit Card,7881.81,55,No,No,No,5,1,5,219,0
CUST-0040,68,Male,Married,Yes,Quetta,Two Year,Bank Transfer,6738.19,62,Yes,No,Yes,5,1,8,217,0
CUST-0041,61,Male,Single,Yes,Islamabad,Month-to-Month,Cash,4023.49,48,Yes,No,Yes,1,5,9,169,0
CUST-0042,69,Male,Married,Yes,Karachi,Month-to-Month,Bank Transfer,4659.48,4,No,No,No,2,0,0,149,1
CUST-0043,20,Male,Married,No,Peshawar,One Year,Bank Transfer,6823.83,37,No,Yes,No,1,5,7,270,0
CUST-0044,54,Female,Married,Yes,Islamabad,Month-to-Month,Credit Card,4107.35,8,Yes,Yes,No,4,1,0,116,0
CUST-0045,68,Male,Single,Yes,Peshawar,One Year,Cash,2045.18,1,Yes,No,No,1,3,3,245,1
CUST-0046,24,Male,Single,Yes,Karachi,Month-to-Month,Cash,6713.33,70,Yes,Yes,No,2,3,2,148,1
CUST-0047,38,Female,Married,No,Islamabad,Two Year,Credit Card,4533.29,47,Yes,Yes,Yes,4,0,3,92,0
CUST-0048,26,Female,Married,No,Peshawar,Two Year,Cash,1647.82,5,No,No,No,4,1,6,85,0
CUST-0049,56,Female,Married,Yes,Quetta,Two Year,Credit Card,4291.89,50,Yes,Yes,No,5,5,8,87,0
CUST-0050,35,Male,Single,No,Quetta,Month-to-Month,Bank Transfer,3599.03,24,No,No,Yes,4,4,8,120,1
CUST-0051,21,Male,Single,Yes,Karachi,One Year,Bank Transfer,7076.32,47,No,Yes,Yes,4,4,9,340,0
CUST-0052,42,Male,Single,Yes,Islamabad,Month-to-Month,Credit Card,1445.42,18,Yes,Yes,Yes,1,4,0,24,1
CUST-0053,31,Female,Single,No,Lahore,Month-to-Month,Bank Transfer,7064.07,28,No,No,No,4,3,9,89,0
CUST-0054,67,Female,Married,No,Islamabad,Month-to-Month,Bank Transfer,4341.58,5,Yes,No,No,3,5,0,37,1
CUST-0055,26,Male,Married,Yes,Quetta,One Year,Credit Card,3532.73,30,Yes,No,No,5,4,8,342,0
CUST-0056,43,Female,Single,Yes,Peshawar,Month-to-Month,Bank Transfer,1714.75,1,Yes,Yes,No,5,1,3,271,1
CUST-0057,70,Female,Single,No,Lahore,One Year,Cash,5756.13,46,No,No,No,4,1,2,12,1
CUST-0058,19,Female,Married,Yes,Karachi,Month-to-Month,Bank Transfer,7451.05,69,No,Yes,Yes,1,4,8,95,1
CUST-0059,37,Male,Single,No,Lahore,Month-to-Month,Credit Card,3315.33,31,Yes,No,No,5,2,4,31,0
CUST-0060,45,Female,Single,Yes,Karachi,One Year,Cash,2311.89,70,No,Yes,No,5,4,5,350,0
CUST-0061,64,Female,Single,No,Lahore,Month-to-Month,Cash,4661.5,56,No,No,No,3,2,0,233,1
CUST-0062,24,Male,Single,Yes,Karachi,One Year,Bank Transfer,6471.39,28,No,No,Yes,4,0,0,340,0
CUST-0063,61,Male,Single,Yes,Karachi,Month-to-Month,Cash,528.26,16,No,Yes,No,5,0,6,328,0
CUST-0064,25,Female,Single,No,Lahore,Two Year,Credit Card,5235.33,54,No,Yes,No,5,1,9,300,0
CUST-0065,64,Female,Married,Yes,Lahore,One Year,Cash,4973.87,53,Yes,No,No,5,5,7,286,0
CUST-0066,52,Male,Single,Yes,Karachi,Month-to-Month,Bank Transfer,2886.14,12,No,Yes,No,5,3,10,35,0
CUST-0067,31,Male,Single,No,Quetta,Month-to-Month,Bank Transfer,3885.67,20,No,No,Yes,1,5,7,21,0
CUST-0068,34,Female,Married,Yes,Lahore,One Year,Cash,2352.22,34,Yes,Yes,Yes,2,1,6,111,0
CUST-0069,53,Female,Married,Yes,Islamabad,Two Year,Credit Card,6424.14,53,No,Yes,Yes,3,1,10,319,0
CUST-0070,67,Female,Married,Yes,Peshawar,Month-to-Month,Credit Card,5259.01,64,No,No,No,1,5,8,348,1
CUST-0071,57,Female,Single,No,Karachi,Month-to-Month,Bank Transfer,4495.34,23,No,No,Yes,3,3,0,145,0
CUST-0072,21,Male,Married,No,Karachi,Two Year,Bank Transfer,3443.95,27,Yes,Yes,Yes,5,1,1,12,0
CUST-0073,19,Female,Single,No,Peshawar,One Year,Credit Card,2685.38,17,No,Yes,No,3,3,2,244,0
CUST-0074,23,Female,Single,Yes,Quetta,Month-to-Month,Cash,6670.52,48,No,Yes,No,4,1,4,146,0
CUST-0075,59,Male,Single,Yes,Peshawar,Month-to-Month,Cash,3885.56,21,Yes,Yes,Yes,4,0,3,239,0
CUST-0076,21,Female,Married,Yes,Lahore,Month-to-Month,Cash,4260.86,50,Yes,No,Yes,2,2,3,92,0
CUST-0077,46,Male,Married,Yes,Peshawar,One Year,Cash,4406.22,40,No,No,Yes,2,1,7,316,0
CUST-0078,35,Female,Married,No,Karachi,Month-to-Month,Credit Card,3862.75,3,Yes,Yes,Yes,3,2,7,323,1
CUST-0079,43,Female,Married,Yes,Peshawar,Two Year,Bank Transfer,2420.66,17,Yes,No,No,1,4,10,115,0
CUST-0080,61,Male,Married,Yes,Islamabad,Month-to-Month,Bank Transfer,1402.55,61,Yes,Yes,No,1,1,6,15,0
CUST-0081,51,Male,Single,Yes,Lahore,Month-to-Month,Cash,1239.03,50,No,Yes,Yes,5,0,0,272,0
CUST-0082,27,Female,Single,No,Peshawar,One Year,Credit Card,6180.97,6,No,Yes,Yes,1,3,9,22,0
CUST-0083,53,Female,Single,Yes,Karachi,Two Year,Credit Card,2176.46,28,Yes,No,Yes,2,0,3,118,0
CUST-0084,31,Female,Single,Yes,Lahore,Two Year,Cash,917.55,72,Yes,Yes,No,1,2,0,95,0
CUST-0085,48,Male,Married,Yes,Karachi,Month-to-Month,Cash,6481.38,55,Yes,No,No,5,3,10,257,1
CUST-0086,65,Female,Married,Yes,Quetta,One Year,Cash,1655.46,58,Yes,No,No,4,0,4,331,1
CUST-0087,32,Male,Single,Yes,Islamabad,One Year,Bank Transfer,5188.6,45,No,Yes,Yes,1,0,2,262,0
CUST-0088,25,Male,Married,No,Quetta,Month-to-Month,Cash,3039.82,72,Yes,No,No,1,0,2,87,1
CUST-0089,31,Female,Married,Yes,Islamabad,Month-to-Month,Bank Transfer,1448.6,19,No,Yes,Yes,2,5,3,318,0
CUST-0090,40,Male,Single,Yes,Peshawar,Month-to-Month,Credit Card,3608.61,29,Yes,Yes,Yes,3,3,1,58,0
CUST-0091,57,Female,Single,Yes,Lahore,Month-to-Month,Credit Card,611.07,23,No,No,No,4,0,6,230,0
CUST-0092,38,Female,Married,Yes,Peshawar,Two Year,Bank Transfer,6807.84,32,No,Yes,Yes,3,0,3,108,0
CUST-0093,33,Female,Married,Yes,Islamabad,Month-to-Month,Bank Transfer,4351.23,10,Yes,No,No,5,2,4,19,0
CUST-0094,62,Female,Single,Yes,Islamabad,Two Year,Bank Transfer,1543.7,49,No,No,No,5,0,1,365,0
CUST-0095,35,Female,Single,Yes,Islamabad,One Year,Bank Transfer,2277.35,65,No,No,Yes,3,0,5,141,0
CUST-0096,64,Male,Single,Yes,Karachi,One Year,Cash,3859.81,29,No,Yes,Yes,2,4,8,160,0
CUST-0097,70,Male,Married,Yes,Lahore,One Year,Credit Card,1916.52,59,Yes,No,No,2,3,7,100,0
CUST-0098,41,Female,Single,Yes,Peshawar,Month-to-Month,Cash,2514.49,45,No,Yes,No,2,4,7,265,1
CUST-0099,43,Female,Single,No,Peshawar,Month-to-Month,Bank Transfer,4507.89,67,No,Yes,No,4,5,1,238,0
CUST-0100,42,Male,Married,No,Quetta,Month-to-Month,Cash,6744.57,51,Yes,No,No,5,2,3,238,1
CUST-0101,62,Male,Married,No,Islamabad,One Year,Cash,3513.8,11,Yes,No,No,5,4,7,49,0
CUST-0102,58,Male,Married,No,Islamabad,Month-to-Month,Credit Card,5877.31,6,No,Yes,No,5,5,10,165,1
CUST-0103,46,Male,Married,Yes,Islamabad,One Year,Cash,7075.13,67,No,No,No,4,1,0,287,0
CUST-0104,32,Female,Married,No,Peshawar,Month-to-Month,Credit Card,2122.26,62,Yes,No,Yes,5,3,7,59,0
CUST-0105,62,Female,Single,No,Quetta,Month-to-Month,Bank Transfer,6553.94,5,Yes,No,No,3,0,2,183,0
CUST-0106,18,Male,Single,Yes,Karachi,Month-to-Month,Cash,6180.52,9,No,Yes,Yes,1,4,7,147,1
CUST-0107,42,Female,Married,No,Lahore,Two Year,Bank Transfer,3177.03,28,No,No,Yes,4,4,5,301,0
CUST-0108,24,Male,Married,No,Karachi,One Year,Credit Card,7921.4,38,Yes,Yes,No,1,0,6,96,0
CUST-0109,26,Female,Married,Yes,Peshawar,Month-to-Month,Bank Transfer,2469.29,43,Yes,Yes,No,3,0,1,43,0
CUST-0110,41,Male,Married,Yes,Islamabad,One Year,Bank Transfer,2411.02,21,No,No,No,2,2,0,354,0
CUST-0111,18,Female,Married,Yes,Lahore,Month-to-Month,Credit Card,6291.94,62,No,No,No,2,4,5,257,1
CUST-0112,61,Male,Single,No,Peshawar,Two Year,Bank Transfer,3759.93,46,Yes,Yes,No,2,4,2,213,0
CUST-0113,25,Male,Single,No,Peshawar,One Year,Bank Transfer,2980.96,70,No,Yes,Yes,4,1,3,189,0
CUST-0114,41,Female,Single,Yes,Peshawar,Month-to-Month,Bank Transfer,1839.97,38,No,No,Yes,2,5,8,131,0
CUST-0115,28,Male,Single,Yes,Lahore,One Year,Cash,6239.99,49,No,Yes,No,4,1,2,347,1
CUST-0116,68,Female,Married,No,Lahore,Month-to-Month,Bank Transfer,6397.41,39,No,No,No,4,4,1,300,0
CUST-0117,34,Female,Single,Yes,Quetta,Two Year,Credit Card,4749.23,71,Yes,Yes,No,1,1,1,289,0
CUST-0118,25,Male,Married,No,Quetta,Month-to-Month,Cash,7679.85,30,Yes,No,No,2,4,1,137,1
CUST-0119,52,Female,Married,Yes,Karachi,One Year,Cash,2886.22,21,No,Yes,Yes,5,3,5,30,0
CUST-0120,52,Female,Married,Yes,Lahore,Month-to-Month,Credit Card,2147.14,1,No,No,Yes,2,2,1,146,1
CUST-0121,50,Female,Single,No,Lahore,One Year,Bank Transfer,5581.0,32,No,No,Yes,2,1,10,312,1
CUST-0122,22,Female,Married,Yes,Lahore,One Year,Cash,6188.06,8,No,Yes,No,2,4,6,105,0
CUST-0123,59,Female,Single,Yes,Quetta,One Year,Cash,2186.79,69,Yes,No,No,5,1,6,287,0
CUST-0124,56,Male,Single,Yes,Peshawar,One Year,Cash,1074.58,30,No,Yes,No,5,5,6,191,0
CUST-0125,58,Female,Married,No,Islamabad,Two Year,Bank Transfer,6578.87,8,No,Yes,Yes,4,2,1,178,0
CUST-0126,45,Female,Married,Yes,Quetta,Month-to-Month,Cash,7823.76,19,Yes,Yes,Yes,5,3,6,345,1
CUST-0127,24,Female,Married,Yes,Lahore,Month-to-Month,Credit Card,5335.04,59,Yes,Yes,Yes,4,0,9,239,1
CUST-0128,26,Female,Single,Yes,Quetta,Month-to-Month,Bank Transfer,2584.0,55,No,No,No,1,0,7,1,0
CUST-0129,25,Female,Married,Yes,Karachi,Two Year,Credit Card,7975.04,30,Yes,Yes,Yes,4,1,7,110,0
CUST-0130,29,Male,Single,Yes,Lahore,Month-to-Month,Credit Card,7199.5,36,Yes,Yes,No,2,4,1,338,1
CUST-0131,51,Female,Married,Yes,Karachi,One Year,Cash,4350.35,55,No,Yes,Yes,3,5,4,275,1
CUST-0132,50,Male,Married,No,Lahore,One Year,Cash,6689.91,44,No,No,No,3,2,5,234,0
CUST-0133,65,Male,Single,No,Quetta,Month-to-Month,Cash,6618.65,27,Yes,Yes,No,2,3,8,64,1
CUST-0134,40,Male,Single,Yes,Peshawar,Month-to-Month,Credit Card,7510.99,54,No,No,No,4,3,5,244,0
CUST-0135,41,Male,Single,No,Islamabad,Month-to-Month,Bank Transfer,6806.93,48,Yes,No,No,2,3,9,53,1
CUST-0136,54,Female,Single,No,Karachi,Month-to-Month,Cash,5327.59,30,Yes,Yes,Yes,5,0,5,262,1
CUST-0137,52,Male,Single,Yes,Quetta,Month-to-Month,Cash,5069.78,39,Yes,No,Yes,4,2,9,17,1
CUST-0138,61,Male,Single,No,Peshawar,Month-to-Month,Credit Card,4005.18,13,No,Yes,Yes,2,0,9,302,1
CUST-0139,57,Female,Married,No,Quetta,Two Year,Bank Transfer,5198.64,16,No,No,No,5,1,5,234,0
CUST-0140,39,Female,Married,No,Karachi,Two Year,Credit Card,6464.12,44,Yes,No,Yes,5,3,8,73,0
CUST-0141,44,Female,Single,No,Islamabad,Month-to-Month,Cash,7767.78,71,Yes,Yes,No,4,2,9,357,0
CUST-0142,52,Male,Married,No,Quetta,Month-to-Month,Credit Card,4004.66,27,No,No,Yes,1,3,6,91,0
CUST-0143,18,Female,Single,No,Lahore,Month-to-Month,Cash,4802.4,45,Yes,Yes,Yes,1,0,0,6,1
CUST-0144,52,Female,Married,No,Peshawar,One Year,Bank Transfer,3836.04,35,Yes,No,No,5,0,0,198,0
CUST-0145,54,Male,Married,No,Quetta,Two Year,Credit Card,5513.66,28,No,Yes,No,1,0,3,365,0
CUST-0146,64,Female,Single,Yes,Peshawar,Month-to-Month,Cash,5224.4,7,No,Yes,No,5,3,1,196,0
CUST-0147,31,Female,Single,Yes,Lahore,Month-to-Month,Cash,633.75,62,No,Yes,Yes,1,2,2,296,0
CUST-0148,20,Female,Single,No,Islamabad,One Year,Cash,4558.71,51,No,Yes,No,5,2,6,347,0
CUST-0149,18,Female,Married,No,Islamabad,One Year,Cash,1163.65,46,Yes,No,Yes,5,1,6,322,1
CUST-0150,22,Male,Single,Yes,Lahore,Month-to-Month,Credit Card,697.88,20,No,Yes,Yes,5,3,2,137,0
CUST-0151,43,Female,Married,No,Peshawar,One Year,Cash,6433.98,38,No,Yes,Yes,5,1,1,267,0
CUST-0152,31,Female,Single,No,Quetta,Month-to-Month,Credit Card,2439.87,61,Yes,Yes,No,3,5,0,116,1
CUST-0153,56,Male,Married,Yes,Lahore,Month-to-Month,Cash,3054.91,32,Yes,Yes,Yes,1,1,8,43,1
CUST-0154,44,Female,Married,Yes,Karachi,One Year,Credit Card,980.63,26,Yes,No,No,5,1,9,231,0
CUST-0155,26,Male,Single,Yes,Peshawar,Two Year,Credit Card,1846.25,58,No,Yes,No,2,1,2,58,0
CUST-0156,32,Female,Married,No,Islamabad,Month-to-Month,Cash,6242.04,39,Yes,No,Yes,4,0,8,206,0
CUST-0157,32,Male,Married,No,Lahore,Two Year,Cash,4201.48,20,No,Yes,Yes,2,5,3,294,0
CUST-0158,43,Male,Single,Yes,Islamabad,Month-to-Month,Cash,7105.01,50,Yes,Yes,Yes,2,1,9,94,1
CUST-0159,59,Male,Married,Yes,Peshawar,One Year,Cash,3479.32,52,No,Yes,Yes,3,2,5,36,0
CUST-0160,30,Male,Single,No,Islamabad,Month-to-Month,Bank Transfer,2515.26,22,Yes,Yes,No,1,1,6,230,0
CUST-0161,68,Female,Single,Yes,Lahore,Two Year,Cash,3107.0,53,No,Yes,No,3,0,9,227,0
CUST-0162,49,Male,Single,No,Peshawar,Two Year,Cash,5845.79,66,No,Yes,No,1,4,5,183,0
CUST-0163,56,Female,Single,No,Karachi,Month-to-Month,Cash,4662.54,43,Yes,No,No,5,5,0,262,0
CUST-0164,66,Male,Married,Yes,Lahore,Two Year,Credit Card,7281.43,23,Yes,No,No,3,4,5,131,0
CUST-0165,69,Male,Married,Yes,Quetta,Two Year,Cash,5016.27,64,No,Yes,No,4,4,10,65,0
CUST-0166,49,Male,Married,No,Lahore,One Year,Credit Card,4197.64,9,Yes,Yes,No,1,5,5,186,0
CUST-0167,21,Female,Single,Yes,Peshawar,Month-to-Month,Credit Card,6393.15,7,No,Yes,No,3,3,4,117,0
CUST-0168,47,Male,Married,Yes,Lahore,Two Year,Credit Card,7606.5,41,No,No,No,4,2,2,186,0
CUST-0169,54,Female,Married,Yes,Karachi,Two Year,Credit Card,3168.84,54,No,Yes,Yes,2,0,9,274,0
CUST-0170,40,Female,Single,Yes,Karachi,Month-to-Month,Bank Transfer,2374.07,65,Yes,No,Yes,5,5,2,151,0
CUST-0171,56,Female,Single,No,Quetta,Two Year,Cash,5121.63,2,No,No,No,5,4,10,352,0
CUST-0172,62,Female,Married,No,Islamabad,Month-to-Month,Credit Card,4241.55,4,No,No,No,2,0,9,151,0
CUST-0173,32,Female,Single,No,Peshawar,Month-to-Month,Cash,7918.89,32,No,No,Yes,3,0,6,36,1
CUST-0174,60,Female,Single,No,Peshawar,One Year,Credit Card,3967.71,2,No,No,Yes,2,3,7,326,1
CUST-0175,46,Female,Single,Yes,Islamabad,One Year,Bank Transfer,1057.49,64,Yes,Yes,Yes,4,4,2,95,0
CUST-0176,53,Female,Single,Yes,Karachi,One Year,Credit Card,7830.27,14,Yes,No,No,1,1,2,134,1
CUST-0177,30,Female,Married,No,Karachi,Month-to-Month,Cash,6826.9,20,No,No,Yes,3,0,6,162,0
CUST-0178,49,Male,Single,No,Lahore,Two Year,Cash,1836.88,49,Yes,Yes,Yes,1,4,9,44,0
CUST-0179,24,Male,Single,Yes,Quetta,Month-to-Month,Bank Transfer,7284.54,8,Yes,Yes,Yes,2,0,6,300,1
CUST-0180,68,Male,Single,No,Quetta,Month-to-Month,Cash,3055.0,63,No,No,Yes,5,3,10,283,0
CUST-0181,39,Male,Single,No,Quetta,Month-to-Month,Cash,3328.34,46,Yes,Yes,Yes,1,3,8,356,0
CUST-0182,45,Male,Single,Yes,Lahore,One Year,Credit Card,7297.94,21,Yes,Yes,No,1,1,5,240,1
CUST-0183,19,Female,Single,No,Quetta,Two Year,Cash,4475.87,32,Yes,Yes,Yes,5,3,6,52,0
CUST-0184,59,Female,Single,Yes,Islamabad,One Year,Credit Card,1533.22,8,Yes,No,No,1,4,10,281,0
CUST-0185,62,Female,Single,Yes,Lahore,Two Year,Bank Transfer,3267.92,16,Yes,No,Yes,1,5,9,74,0
CUST-0186,70,Female,Married,No,Islamabad,Month-to-Month,Cash,5915.73,40,Yes,Yes,Yes,5,3,0,295,0
CUST-0187,23,Female,Single,Yes,Lahore,One Year,Credit Card,1806.38,27,No,Yes,Yes,5,5,6,238,0
CUST-0188,45,Female,Married,No,Quetta,Month-to-Month,Cash,4926.73,18,Yes,No,Yes,2,1,1,167,1
CUST-0189,45,Female,Single,Yes,Islamabad,Month-to-Month,Credit Card,5714.56,35,No,No,Yes,2,2,6,140,0
CUST-0190,61,Male,Single,No,Islamabad,Month-to-Month,Bank Transfer,3078.9,52,No,Yes,No,1,0,2,139,1
CUST-0191,61,Male,Single,No,Islamabad,One Year,Credit Card,5704.11,15,No,No,No,3,0,8,235,1
CUST-0192,37,Male,Single,No,Lahore,One Year,Cash,7131.56,63,Yes,No,No,2,4,4,3,0
CUST-0193,47,Male,Married,Yes,Peshawar,One Year,Credit Card,4040.88,53,Yes,Yes,No,2,1,6,256,0
CUST-0194,28,Female,Single,Yes,Quetta,Month-to-Month,Cash,3371.82,66,No,Yes,No,3,1,7,278,0
CUST-0195,45,Female,Single,No,Islamabad,Month-to-Month,Bank Transfer,2383.69,31,No,No,No,3,1,1,4,0
CUST-0196,42,Female,Married,Yes,Peshawar,One Year,Credit Card,5031.54,61,No,No,No,5,0,10,270,1
CUST-0197,56,Male,Married,No,Quetta,Month-to-Month,Cash,7098.89,64,Yes,No,Yes,2,3,0,212,0
CUST-0198,50,Female,Single,No,Quetta,Two Year,Cash,2934.96,34,Yes,Yes,No,4,0,6,216,0
CUST-0199,18,Female,Married,Yes,Islamabad,One Year,Cash,3471.77,55,Yes,Yes,Yes,4,0,5,270,0
CUST-0200,44,Female,Married,No,Islamabad,Month-to-Month,Credit Card,3549.69,59,No,Yes,Yes,1,0,5,16,1
CUST-0201,69,Male,Married,Yes,Lahore,Two Year,Credit Card,4706.09,3,Yes,Yes,No,2,3,1,64,0
CUST-0202,30,Female,Single,No,Peshawar,One Year,Credit Card,2213.07,17,Yes,No,Yes,4,2,2,239,0
CUST-0203,58,Male,Single,Yes,Peshawar,Month-to-Month,Bank Transfer,6666.58,46,No,Yes,Yes,2,4,3,16,1
CUST-0204,20,Male,Single,No,Islamabad,One Year,Cash,2717.02,38,Yes,Yes,No,2,2,2,52,0
CUST-0205,56,Male,Married,No,Quetta,Month-to-Month,Cash,5790.22,35,No,No,Yes,4,2,1,19,0
CUST-0206,23,Male,Single,Yes,Islamabad,Two Year,Bank Transfer,4349.12,1,Yes,Yes,No,2,0,2,325,0
CUST-0207,25,Female,Married,No,Quetta,Two Year,Bank Transfer,4894.23,29,No,No,Yes,3,2,5,93,0
CUST-0208,44,Male,Single,No,Quetta,Two Year,Credit Card,1847.07,4,Yes,Yes,No,1,0,8,261,0
CUST-0209,26,Male,Single,Yes,Islamabad,One Year,Credit Card,6012.67,61,No,No,Yes,5,0,3,298,0
CUST-0210,54,Female,Married,No,Karachi,Month-to-Month,Credit Card,1914.65,17,Yes,No,No,4,4,5,17,1
CUST-0211,50,Female,Single,Yes,Peshawar,One Year,Credit Card,1351.05,28,No,No,Yes,5,1,0,111,0
CUST-0212,68,Male,Married,No,Quetta,Month-to-Month,Credit Card,4600.1,50,No,Yes,No,1,0,5,328,0
CUST-0213,59,Female,Married,Yes,Quetta,One Year,Credit Card,5819.73,8,Yes,No,Yes,3,2,2,360,0
CUST-0214,61,Male,Single,No,Karachi,One Year,Bank Transfer,875.27,34,Yes,Yes,Yes,3,4,8,94,0
CUST-0215,41,Male,Married,No,Lahore,Month-to-Month,Bank Transfer,1020.46,59,No,Yes,No,3,5,3,10,0
CUST-0216,32,Male,Single,No,Karachi,Month-to-Month,Bank Transfer,6520.09,18,Yes,Yes,Yes,3,5,6,212,0
CUST-0217,49,Male,Single,Yes,Karachi,Two Year,Cash,6567.75,59,No,Yes,No,4,5,3,237,0
CUST-0218,49,Female,Married,Yes,Quetta,Two Year,Cash,2339.79,27,No,Yes,Yes,4,2,10,254,0
CUST-0219,41,Male,Single,Yes,Peshawar,Month-to-Month,Credit Card,5114.21,16,Yes,Yes,Yes,2,1,5,16,1
CUST-0220,58,Female,Married,Yes,Karachi,Month-to-Month,Bank Transfer,3823.85,10,Yes,No,No,2,3,6,144,1
CUST-0221,69,Female,Single,No,Lahore,Month-to-Month,Cash,5245.22,22,Yes,No,Yes,1,1,1,42,1
CUST-0222,66,Female,Single,No,Islamabad,Two Year,Cash,6971.59,16,No,Yes,No,2,4,9,3,0
CUST-0223,66,Female,Single,Yes,Karachi,Month-to-Month,Bank Transfer,1098.92,12,No,Yes,Yes,1,1,5,156,0
CUST-0224,69,Male,Single,Yes,Karachi,One Year,Cash,6334.88,51,Yes,Yes,Yes,1,5,7,173,0
CUST-0225,29,Female,Single,Yes,Lahore,Month-to-Month,Cash,4197.72,1,No,Yes,Yes,1,1,5,24,0
